sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19
2988.31,2546.26,2224.6222,947.7739,1.2924,100.0,104.8489,0.1197,1.5465,0.025,-0.0024,0.9616,192.9787,0.0,12.4364,424.7536,9.5917,0.9706,183.3869,12.4622
3028.02,2560.87,2270.2556,1258.4558,1.395,100.0,104.8078,0.1207,1.4368,0.015,-0.0037,0.9623,195.1742,0.0,12.1805,428.9826,9.1999,0.9673,185.9743,12.4761
3032.73,2517.79,2270.2556,1258.4558,1.395,100.0,104.8078,0.1207,1.5537,0.022,-0.0027,0.9613,195.3425,0.0,10.0002,420.4726,9.4147,0.9692,185.9278,12.4761
3040.34,2501.16,2207.3889,962.5317,1.2043,100.0,104.0311,0.121,1.5481,-0.0367,0.0014,0.9634,196.2746,0.0,8.4061,409.1399,9.847,0.9701,186.4275,12.5222
2988.3,2519.05,2208.8556,1157.7224,1.5509,100.0,107.8022,0.1233,1.5362,-0.0259,-0.0179,0.9614,197.1793,0.0,13.3419,404.5667,10.1924,0.9697,186.9869,12.5635
2987.32,2528.81,,,,,,0.1195,1.6343,-0.0263,0.0116,0.9587,200.8256,0.0,11.9224,414.306,9.7659,0.9661,191.0598,12.4761
,2481.85,2207.3889,962.5317,1.2043,100.0,104.0311,0.121,1.5559,0.0002,-0.0044,0.9617,196.6315,0.0,13.6262,410.695,10.3503,0.9684,186.2811,12.4761
3002.27,2497.45,2207.3889,962.5317,1.2043,100.0,104.0311,0.121,1.5465,0.0195,-0.0114,0.9491,199.6394,0.0,15.4346,418.2477,10.3647,0.9706,189.2748,12.4761
2884.74,2514.54,2160.3667,899.9488,1.4022,100.0,105.4978,0.124,1.5585,-0.0317,-0.0138,0.9638,196.1842,0.0,11.6229,434.7942,8.8407,0.9696,187.3435,12.4761
3010.41,2632.8,2203.9,1116.4129,1.2639,100.0,102.2733,0.1199,1.4227,0.0194,0.0073,0.9765,199.0177,0.0,4.704,406.7425,9.5066,0.9802,189.5111,12.5784
2979.74,2446.56,2257.1667,1437.9565,1.4918,100.0,106.34,0.1203,1.5136,0.0018,0.0058,0.958,205.9919,0.0,10.6611,413.1526,9.747,0.9559,196.2449,12.4222
3067.35,2456.33,2257.1667,1437.9565,1.4918,100.0,106.34,0.1203,1.486,-0.0019,-0.0056,0.9587,206.4033,0.0,14.8136,419.0913,9.8198,0.9567,196.5835,12.4222
2988.99,2607.63,2223.0333,1533.9934,1.3548,100.0,109.7067,0.1211,1.5582,-0.0101,0.0204,0.9572,199.6076,0.0,5.7692,405.8875,10.215,0.9715,189.3926,12.4231
2972.78,2431.57,2190.4889,1059.439,0.8614,100.0,102.1178,0.1216,1.5438,0.0065,0.0032,0.9589,206.4436,0.0,11.3083,403.4278,9.7745,0.9574,196.6691,12.5473
2981.85,2529.11,2180.3778,1208.7411,1.2998,100.0,100.2789,0.1209,1.42,-0.0016,0.0138,0.962,198.7199,0.0,6.8715,414.1525,8.6625,0.9629,190.0574,12.5473
2975.88,2489.7,2191.6667,1153.9011,1.2569,100.0,100.6767,0.121,1.4481,-0.0134,0.0177,0.9515,199.6605,0.0,7.3997,422.9413,9.8631,0.9596,189.7974,12.4222
3058.61,2492.36,2180.3778,1208.7411,1.2998,100.0,100.2789,0.1209,1.5602,0.0041,-0.0056,0.9595,206.5154,0.0,11.3994,417.3887,9.75,0.9582,196.7655,12.5473
3047.19,2524.18,2197.3111,969.891,1.3015,100.0,105.3911,0.1201,1.5837,-0.0266,-0.0029,0.9581,199.4722,0.0,11.6646,414.2214,9.7447,0.972,189.7275,12.4222
2981.31,2566.35,2197.3111,969.891,1.3015,100.0,105.3911,0.1201,1.5047,-0.0216,0.0064,0.9721,199.2977,0.0,9.5945,417.114,9.672,0.9726,189.6257,12.4278
2963.83,2457.64,2225.1777,1457.7934,1.2414,100.0,110.2789,0.1211,1.5374,-0.0177,0.017,0.9757,199.5802,0.0,7.203,419.3116,9.6398,0.9651,189.9403,12.5473
3040.72,2477.35,2191.6667,1153.9011,1.2569,100.0,100.6767,0.121,1.3475,-0.0152,0.0115,0.9517,200.1074,0.0,4.5248,400.7535,10.4472,0.9715,189.6602,12.2749
2989.47,2445.44,2223.1667,1522.5535,1.1981,100.0,110.6333,0.121,1.5316,-0.0194,0.0088,0.9614,199.2808,0.0,7.4758,422.0675,10.499,0.9758,188.7817,12.4231
2981.54,2302.46,2221.8445,1416.8211,1.1758,100.0,111.6278,0.121,1.44,-0.0163,0.0211,0.9651,199.6613,0.0,5.804,410.4105,9.4864,0.9629,190.1748,12.4231
2958.09,2542.24,2222.6778,1547.6125,1.4431,100.0,110.5644,0.1211,1.478,-0.0131,0.0079,0.9665,199.6664,0.0,5.4971,409.9835,9.7739,0.9731,189.8925,12.5724
3017.21,2530.67,2169.4667,1185.4449,1.2412,100.0,100.8444,0.1221,1.5335,0.0098,-0.0013,0.9605,200.1657,0.0,5.2868,420.1729,9.8035,0.9696,190.3622,12.4622
2962.14,2545.71,2221.5778,1503.623,1.1878,100.0,111.3444,0.1211,1.5424,-0.0177,0.014,0.9691,198.7302,0.0,6.4395,417.85,9.5543,0.9729,189.1758,12.5473
3017.1,2517.18,2180.3778,1208.7411,1.2998,100.0,100.2789,0.1209,1.4652,-0.0008,0.0137,0.9534,200.0984,0.0,5.7909,403.6371,10.0255,0.962,190.0729,12.4222
3021.26,2503.46,2180.3778,1208.7411,1.2998,100.0,100.2789,0.1209,1.5042,0.0082,0.0092,0.9542,199.8881,0.0,5.109,406.9902,10.0005,0.9623,189.8876,12.4222
3000.36,2748.67,2174.8666,1039.2291,1.0455,100.0,103.6,0.1221,1.5337,-0.0207,0.0067,0.9617,193.9873,0.0,5.5022,407.3229,10.194,0.9714,183.7933,12.2939
3047.78,2490.71,2166.5222,907.0746,1.0647,100.0,104.5211,0.1221,1.5764,-0.0219,-0.008,0.9611,202.1342,0.0,5.3695,414.0669,10.1081,0.967,192.0261,12.4871
2912.87,2446.25,2166.5222,907.0746,1.0647,100.0,104.5211,0.1221,1.5336,-0.0283,0.005,0.9625,201.7858,0.0,5.1046,408.7597,10.0934,0.9679,191.6925,12.4871
3076.38,2475.53,2166.5222,907.0746,1.0647,100.0,104.5211,0.1221,1.4919,-0.003,0.0034,0.9493,200.0401,0.0,13.9864,420.1404,10.6454,0.9748,189.3948,12.4871
3055.97,2788.4,2166.5222,907.0746,1.0647,100.0,104.5211,0.1221,1.5179,0.0114,0.011,0.948,199.9997,0.0,5.1376,421.5875,9.7465,0.9668,190.2532,12.4871
2993.59,2345.95,2169.4667,1185.4449,1.2412,100.0,100.8444,0.1221,1.5533,0.0173,0.0067,0.9606,199.3216,0.0,7.359,416.8137,9.7807,0.9695,189.5409,12.4622
2946.86,2533.91,2174.8666,1039.2291,1.0455,100.0,103.6,0.1221,1.5516,-0.0343,0.0065,0.9487,195.9192,0.0,4.7895,406.4293,10.2702,0.9684,185.649,12.4871
2942.31,2446.74,2172.9778,1222.6067,1.3658,100.0,101.84,0.122,1.5717,-0.0105,0.0052,0.962,201.4822,0.0,6.5073,418.8194,10.0409,0.9678,191.4413,12.4622
2993.14,2520.21,2180.6778,1230.6762,1.4095,100.0,103.3778,0.1205,1.5277,-0.0187,-0.0076,0.9453,200.4381,0.0,16.5926,426.847,10.2057,0.9663,190.2324,12.4871
2938.41,2466.78,2166.5222,907.0746,1.0647,100.0,104.5211,0.1221,1.471,0.0442,0.0146,0.9493,196.472,0.0,3.5131,397.7444,10.7124,0.9685,185.7595,12.4871
3058.98,2484.31,2172.9778,1222.6067,1.3658,100.0,101.84,0.122,1.5321,-0.0008,0.0047,0.9527,200.0029,0.0,13.4387,422.3048,10.6441,0.9768,189.3587,12.4278
2950.46,2398.44,2180.6778,1230.6762,1.4095,100.0,103.3778,0.1205,1.6486,-0.0239,0.0031,0.9453,200.4054,0.0,5.3316,422.2173,10.3876,0.9682,190.0178,12.4871
3060.03,2809.79,2166.5222,907.0746,1.0647,100.0,104.5211,0.1221,1.5512,-0.0019,0.0033,0.9439,199.4196,0.0,4.9034,427.5748,10.2718,0.9653,189.1478,12.4871
2983.09,2569.81,2206.5112,1244.1552,1.2691,100.0,101.6667,0.1229,1.4873,0.0362,0.0029,0.9574,199.7442,0.0,3.3665,393.6668,10.68,0.9738,189.0642,12.5235
2935.94,2586.05,2164.4111,1206.6031,0.9799,100.0,100.5189,0.122,1.4786,0.0049,0.0116,0.9613,198.6318,0.0,2.2493,396.9681,9.9522,0.9685,188.6797,12.4649
3004.09,2388.74,2223.8,1503.1248,1.1705,100.0,110.06,0.1211,1.4441,-0.0177,0.0263,0.9569,200.0352,0.0,4.2144,404.6055,11.0203,0.971,189.0149,12.5473
3020.76,2481.28,2197.3111,969.891,1.3015,100.0,105.3911,0.1201,1.5632,-0.0156,-0.001,0.9537,199.8442,0.0,5.2834,415.4686,10.6095,0.9719,189.2346,12.4278
3042.08,2694.31,2206.5112,1244.1552,1.2691,100.0,101.6667,0.1229,1.5928,0.0163,-0.0042,0.9667,191.1495,0.0,4.173,396.881,9.932,0.9722,181.2176,12.5235
3000.56,2541.92,2220.5445,1192.8757,1.3872,100.0,106.2567,0.1218,1.5644,0.0201,0.0044,0.9644,191.4789,0.0,10.2455,410.013,9.1397,0.9729,182.3391,12.5235
2990.22,2483.66,2206.5112,1244.1552,1.2691,100.0,101.6667,0.1229,1.4729,0.0206,0.003,0.9755,191.225,0.0,11.4142,408.2936,9.1557,0.9799,182.0693,12.5724
3016.64,2492.8,2246.4889,1006.9548,1.0997,100.0,103.3222,0.1184,1.5068,0.0126,-0.0023,0.9649,201.893,0.0,11.4445,425.767,8.8833,0.9692,193.0096,12.4247
2980.84,2628.76,2187.5222,1268.6598,1.4503,100.0,102.4622,0.1233,1.4672,-0.0088,0.0071,0.9682,195.2619,0.0,14.1603,426.2799,9.1136,0.9742,186.1483,
2847.81,2461.38,2202.7111,1010.4454,1.0032,100.0,104.3067,0.1225,1.497,-0.0077,0.0068,0.9679,195.6413,0.0,9.973,409.5656,9.708,0.9741,185.9333,12.4659
,2544.52,2202.7111,1010.4454,1.0032,100.0,104.3067,0.1225,1.4727,-0.0044,0.0136,0.9696,195.4928,0.0,15.9505,429.7235,9.0959,0.975,186.3969,12.4659
2975.64,2508.28,2202.7111,1010.4454,1.0032,100.0,104.3067,0.1225,1.5079,-0.0086,0.007,0.9663,195.5961,0.0,17.1168,430.6053,9.118,0.9727,186.478,12.4247
3066.19,2702.64,2246.4889,1006.9548,1.0997,100.0,103.3222,0.1184,1.444,0.0007,0.009,0.9671,194.4585,0.0,17.2065,428.5948,9.7637,0.9724,184.6948,12.4659
2873.35,2565.8,2220.5445,1192.8757,1.3872,100.0,106.2567,0.1218,1.5569,0.0189,0.0077,0.968,201.6988,0.0,10.158,405.8365,9.3711,0.9622,192.3277,12.5235
3045.03,2315.76,2246.4889,1006.9548,1.0997,100.0,103.3222,0.1184,1.5693,0.0064,-0.0058,0.9682,201.5153,0.0,12.655,418.8553,9.3955,0.9622,192.1198,12.4247
3090.18,2375.49,2191.6667,1107.433,1.3529,100.0,103.4233,0.1206,1.5769,-0.0359,0.0076,0.9653,195.9164,0.0,5.9519,408.6125,9.8426,0.9731,186.0737,12.5235
2955.85,2623.1,2191.6667,1107.433,1.3529,100.0,103.4233,0.1206,1.4395,0.0012,0.0011,0.9556,200.1743,0.0,7.3859,400.351,10.1235,0.9724,190.0507,12.4247
3006.23,2424.37,2220.5445,1192.8757,1.3872,100.0,106.2567,0.1218,1.4829,-0.0176,0.0064,0.9642,195.4162,0.0,4.5654,395.9865,10.5025,0.9716,184.9138,12.4871
2958.05,2450.25,2199.3334,1017.9399,1.2414,100.0,100.5544,0.1214,1.4981,0.0234,-0.0042,0.9536,202.5742,0.0,4.0799,399.0785,9.902,0.9632,192.6721,
2999.72,2492.29,2191.6667,1107.433,1.3529,100.0,103.4233,0.1206,1.4656,-0.0103,-0.0029,0.9589,199.6948,0.0,8.3864,402.8367,10.1394,0.9755,189.5554,12.4743
2918.9,2500.41,2183.4333,1582.5646,1.3601,100.0,99.0267,0.124,1.4408,0.0247,0.0022,0.9511,202.15,0.0,3.1509,403.2555,9.946,0.9693,192.204,12.5088
2926.07,2505.73,2191.6667,1107.433,1.3529,100.0,103.4233,0.1206,1.5371,-0.016,0.0022,0.9528,200.1845,0.0,3.4345,427.1292,9.9707,0.9704,190.2138,12.4247
3032.89,2500.81,2183.4333,1582.5646,1.3601,100.0,99.0267,0.124,1.4615,-0.0034,-0.0042,0.9581,199.5653,0.0,9.0188,405.2932,10.0926,0.974,189.4727,12.4743
2865.31,2531.75,2246.4889,1006.9548,1.0997,100.0,103.3222,0.1184,1.5264,0.017,-0.0099,0.9613,201.4855,0.0,12.9025,419.9636,9.4946,0.9555,191.9909,12.4247
2855.8,2537.35,2183.4333,1582.5646,1.3601,100.0,99.0267,0.124,1.4912,-0.0004,-0.0016,0.9681,199.2058,0.0,10.6604,397.5674,10.3558,0.974,188.85,12.4659
2930.22,2417.85,2246.4889,1006.9548,1.0997,100.0,103.3222,0.1184,1.5218,-0.0283,-0.001,0.9584,195.8258,0.0,5.132,410.2025,8.8623,0.9732,186.9636,12.4659
2971.99,2502.62,2239.3,1192.7495,1.2479,100.0,100.1189,0.1187,1.5824,-0.0006,0.0064,0.9649,201.9597,0.0,4.7482,404.6931,9.6496,0.9695,192.31,12.4659
2940.53,2459.87,2202.7111,1010.4454,1.0032,100.0,104.3067,0.1225,1.5884,-0.0108,0.0165,0.9558,194.6922,0.0,7.5957,427.1576,8.9623,0.9718,185.7299,12.5088
2916.41,2503.59,2246.4889,1006.9548,1.0997,100.0,103.3222,0.1184,1.6026,-0.0252,0.0033,0.9645,199.4803,0.0,8.0833,397.9443,10.204,0.977,189.2763,12.5724
3047.67,2565.03,2199.3334,1017.9399,1.2414,100.0,100.5544,0.1214,1.488,0.0252,-0.0044,0.9489,202.287,0.0,2.908,416.8999,9.9919,0.969,192.2951,12.4771
3082.45,2739.19,2199.3334,1017.9399,1.2414,100.0,100.5544,0.1214,1.5553,0.0245,-0.0111,0.9609,202.2491,0.0,12.4225,405.7057,10.3618,0.9597,191.8873,12.4771
3088.82,2655.37,2183.4556,955.9073,1.1048,100.0,102.6978,0.1223,1.3296,-0.0011,0.0007,0.9537,202.6471,0.0,4.0536,405.261,10.1496,0.9775,192.4975,12.4882
3090.42,2531.98,2265.1889,1740.3297,1.4715,100.0,100.3889,0.1222,1.3167,0.0428,0.023,0.9511,202.1463,0.0,4.7155,415.6802,10.17,0.9758,191.9762,12.4882
3031.9,2414.83,2191.9,1936.7653,1.5291,100.0,98.1244,0.1254,1.4989,-0.0042,-0.0009,0.9673,199.629,0.0,11.7405,427.7605,9.4636,0.9657,190.1654,12.4743
3029.16,2519.68,2265.1889,1740.3297,1.4715,100.0,100.3889,0.1222,1.4527,-0.0077,-0.0098,0.9487,201.701,0.0,4.7764,405.1486,10.1361,0.9747,191.5649,12.4967
3040.63,2547.43,2174.8666,1039.2291,1.0455,100.0,103.6,0.1221,1.5867,0.0086,0.0349,0.9534,194.3909,0.0,4.6731,403.3538,10.0685,0.9696,184.3224,12.4278
3039.93,2447.89,2246.4889,1006.9548,1.0997,100.0,103.3222,0.1184,1.5414,-0.0095,-0.0167,0.9631,193.9698,0.0,8.1787,412.8356,9.9865,0.9698,183.9833,12.4278
2922.94,2478.55,2193.1555,1172.6226,1.2752,100.0,101.1111,0.1209,1.5024,-0.0039,0.0008,0.9629,199.6448,0.0,9.4702,404.7365,9.3991,0.971,190.2458,12.5698
3046.33,2545.34,2172.3666,1752.3206,1.3622,100.0,97.2633,0.1269,1.5409,-0.0097,0.0043,0.9612,199.6455,0.0,3.8361,399.7667,10.1871,0.9685,189.4584,12.5088
3081.07,2560.99,2180.1556,1822.5073,1.2579,100.0,98.1289,0.1261,1.5048,-0.0108,0.007,0.9477,203.2749,0.0,13.4292,408.6389,10.0165,0.9668,193.2584,12.4771
2992.4,2467.07,2191.6667,1107.433,1.3529,100.0,103.4233,0.1206,1.4993,-0.0091,0.0006,0.9549,199.6784,0.0,7.6212,395.5722,10.1679,0.972,189.5104,12.4659
3049.31,2453.82,2265.1889,1740.3297,1.4715,100.0,100.3889,0.1222,1.531,0.0006,0.0028,0.9649,198.6113,0.0,15.4785,422.5091,10.3122,0.9712,188.2991,12.4882
3011.49,2537.9,2183.4556,955.9073,1.1048,100.0,102.6978,0.1223,1.6227,0.0062,0.0194,0.9649,198.9,0.0,14.0894,416.6665,10.3165,0.9711,188.5834,12.4882
2913.15,2544.52,2232.5889,1717.275,1.67,100.0,104.1067,0.1223,1.5115,-0.01,0.0053,0.977,198.4355,0.0,10.179,405.2096,9.1935,0.9806,189.242,12.5724
3080.26,2526.82,2265.1889,1740.3297,1.4715,100.0,100.3889,0.1222,1.5035,0.0046,0.0041,0.9648,199.0475,0.0,14.4227,415.8519,10.2777,0.9712,188.7698,12.4882
3070.5,2439.13,2209.9222,1693.5732,1.3918,100.0,99.0811,0.125,1.3609,-0.0003,-0.0046,0.9563,208.2673,0.0,17.8597,422.9505,9.5313,0.9537,198.736,12.4882
2960.18,2459.62,2213.7667,1679.3498,1.0685,100.0,98.1978,0.1235,1.4581,0.0002,0.0004,0.9598,208.633,0.0,18.8626,421.8025,9.5094,0.9573,199.1236,
2960.65,2436.17,2265.1889,1740.3297,1.4715,100.0,100.3889,0.1222,1.5748,-0.0062,-0.0024,0.9646,197.6366,0.0,15.0233,418.0322,10.3441,0.971,187.2925,12.4967
3000.46,2523.08,2191.9,1936.7653,1.5291,100.0,98.1244,0.1254,1.4051,-0.0276,-0.0093,0.956,199.3181,0.0,12.9074,432.9016,9.4655,0.9735,189.8525,12.4371
2946.86,2474.05,2220.7111,1064.8446,0.9747,100.0,103.0567,0.1193,1.4039,0.0088,0.0169,0.9455,206.3514,0.0,5.9532,400.1708,10.3933,0.9569,195.9582,
2831.91,2433.96,2171.9,1811.8799,1.3811,100.0,99.22,0.1276,1.3985,-0.0092,0.0044,0.9561,199.4706,0.0,13.4953,426.9365,9.4541,0.9736,190.0165,12.4867
2872.4,2607.75,2172.3666,1752.3206,1.3622,100.0,97.2633,0.1269,1.4876,0.0018,0.0094,0.951,203.3075,0.0,3.636,404.9856,9.8652,0.9606,193.4424,
3054.78,2479.17,2171.9,1811.8799,1.3811,100.0,99.22,0.1276,1.4321,-0.0114,0.0026,0.9539,199.6391,0.0,13.0316,425.6525,9.4543,0.9726,190.1848,12.5698
3086.88,2395.85,2171.9,1811.8799,1.3811,100.0,99.22,0.1276,1.4639,-0.0091,-0.0063,0.9501,202.7572,0.0,12.7841,416.9489,10.3001,0.96,192.4571,12.469
2913.42,2437.69,2220.7111,1064.8446,0.9747,100.0,103.0567,0.1193,1.5242,0.0221,0.0153,0.9689,199.3755,0.0,4.4125,404.9075,10.7339,0.9731,188.6416,12.4743
3039.57,2583.78,2197.8445,1907.8909,1.1799,100.0,99.6667,0.1247,1.5847,0.0283,0.0118,0.9668,199.0997,0.0,6.0177,408.9852,10.077,0.9745,189.0227,
2958.13,2485.57,2197.8667,1888.0388,1.1988,100.0,100.2811,0.1247,1.5497,-0.0019,0.0029,0.964,199.0418,0.0,13.6445,406.2111,9.4815,0.9616,189.5602,12.4371
2928.16,2523.21,2210.6111,1184.6481,1.2577,100.0,102.9356,0.1201,1.4453,-0.0126,0.0152,0.9424,198.8602,0.0,4.7513,406.291,10.2926,0.9517,188.5676,12.5698
2951.2,2418.83,2181.1555,988.766,0.9454,100.0,101.3611,0.1215,1.4634,-0.0094,0.0006,0.9661,201.8303,0.0,12.7948,407.8339,10.2747,0.9714,191.5555,12.5849
3002.85,2502.05,2232.5889,1717.275,1.67,100.0,104.1067,0.1223,1.4518,0.0066,0.0151,0.9659,198.8576,0.0,5.7237,403.9325,9.4372,0.9735,189.4203,12.4827
3046.34,2307.24,2178.1444,1074.5145,1.226,100.0,101.0956,0.1218,1.4443,0.0008,-0.0059,0.9492,202.9989,0.0,11.7968,401.278,10.286,0.9596,192.7129,12.5698
,2810.12,2232.5889,1717.275,1.67,100.0,104.1067,0.1223,1.5166,-0.0141,0.009,0.9496,202.8416,0.0,15.2822,422.8612,10.4161,0.9609,192.4255,12.5088
2985.11,2496.73,2220.7111,1064.8446,0.9747,100.0,103.0567,0.1193,1.474,0.0024,0.0069,0.9438,206.4474,0.0,5.8117,401.2955,10.3131,0.9561,196.1343,12.5698
2943.58,2512.49,2171.9,1811.8799,1.3811,100.0,99.22,0.1276,1.4046,-0.008,0.004,0.9663,199.0794,0.0,11.4788,404.3473,9.1952,0.9733,189.8842,12.5698
2992.89,2481.43,2183.4556,955.9073,1.1048,100.0,102.6978,0.1223,1.4649,0.0309,-0.0068,0.9657,199.6813,0.0,18.1408,411.6088,10.3346,0.9721,189.3467,
2962.27,2495.35,2171.9,1811.8799,1.3811,100.0,99.22,0.1276,1.5385,0.0329,-0.001,0.9662,199.2753,0.0,11.7113,399.6304,10.2041,0.9734,189.0711,12.4371
3043.67,2518.21,2222.3222,1678.9669,1.5099,100.0,99.6944,0.1248,1.537,-0.0013,0.0006,0.9563,197.9708,0.0,9.6926,415.1418,10.786,0.9724,187.1847,12.4659
3024.46,2468.33,2222.3333,1720.9033,1.315,100.0,100.3989,0.1231,1.5374,-0.0131,-0.0007,0.9522,210.5179,0.0,5.6793,417.4052,10.3635,0.9566,200.1544,
3032.81,2534.74,2239.4223,1997.3782,1.5397,100.0,98.3356,0.1229,1.4974,-0.0046,-0.0002,0.9629,201.6839,0.0,16.8343,426.7663,9.5521,0.9781,192.1317,12.5022
3020.12,2416.73,2196.6555,1066.1908,1.2188,100.0,101.89,0.1211,1.3642,-0.0167,0.0033,0.9669,197.5256,0.0,12.6505,415.3988,10.1442,0.9785,187.3814,12.3376
2955.3,2460.08,2191.9,1936.7653,1.5291,100.0,98.1244,0.1254,1.4125,-0.0003,0.014,0.9636,198.4576,0.0,12.5444,415.0011,9.1855,0.9716,189.2721,12.4247
3100.44,2690.99,2239.4223,1997.3782,1.5397,100.0,98.3356,0.1229,1.543,0.0059,-0.0057,0.9742,200.121,0.0,2.8173,415.4615,10.5682,0.9716,189.5527,12.5022
2976.48,2502.96,2232.5889,1717.275,1.67,100.0,104.1067,0.1223,1.4306,0.0383,-0.0045,0.9666,198.2496,0.0,5.0234,403.6461,9.6527,0.9738,188.5969,12.4247
3056.5,2481.09,2220.4444,1637.2946,1.368,100.0,100.5189,0.1231,1.4402,-0.018,-0.0013,0.9668,202.7691,0.0,5.2075,408.731,9.6506,0.9636,193.1185,12.4659
3017.5,2634.3,2183.4556,955.9073,1.1048,100.0,102.6978,0.1223,1.47,-0.0092,0.0083,0.9514,210.618,0.0,5.8718,420.8003,10.3046,0.9563,200.3134,12.4659
3003.13,2714.3,2171.9,1811.8799,1.3811,100.0,99.22,0.1276,1.424,-0.008,0.0074,0.9557,199.1319,0.0,5.5904,414.1055,9.7109,0.9732,189.421,12.469
2924.23,2531.34,2196.6555,1066.1908,1.2188,100.0,101.89,0.1211,1.3872,-0.0089,0.0028,0.9513,197.6882,0.0,12.6325,414.5268,10.4655,0.9604,187.2226,12.4247
3023.86,2432.85,2172.3666,1752.3206,1.3622,100.0,97.2633,0.1269,1.4712,-0.015,0.0056,0.9669,199.5552,0.0,10.0725,406.1241,9.3766,0.9741,190.1786,12.4743
3020.46,2477.86,2242.2444,1695.7049,1.4215,100.0,99.9944,0.1215,1.4845,-0.0079,-0.0004,0.9661,200.0653,0.0,3.4456,415.2112,9.7499,0.9709,190.3154,12.4961
3035.71,2567.29,2222.3222,1678.9669,1.5099,100.0,99.6944,0.1248,1.3325,0.0067,0.0098,0.9613,202.5176,0.0,6.1052,402.1135,9.7481,0.9594,192.7696,12.4371
2917.86,2490.86,2178.1444,1074.5145,1.226,100.0,101.0956,0.1218,1.4704,0.0024,0.0124,0.9614,197.6029,0.0,4.111,397.7479,10.7572,0.97,186.8457,12.4371
3044.46,2497.58,2178.1444,1074.5145,1.226,100.0,101.0956,0.1218,1.3714,0.0037,0.007,0.9802,197.7226,0.0,13.1215,405.3276,9.9339,0.9796,187.7887,12.5849
2959.65,2576.84,2171.9,1811.8799,1.3811,100.0,99.22,0.1276,1.4523,-0.0032,0.0093,0.9602,198.3949,0.0,3.0397,427.7382,9.712,0.9705,188.6829,12.5698
